selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
13.35,2017,17550,19.67,1582,126.2,5,1,0,0,0,1,1,0
20.9025,2014,76000,17.68,1968,174.33,8,1,0,0,0,0,1,0
20.9025,2014,66000,18.56,1995,190,8,1,0,0,0,0,1,0
18.5,2016,59000,14.67,1798,177.46,6,0,0,0,1,0,1,0
20.9025,2019,27000,17.9,2143,201.15,3,1,0,0,0,0,1,0
7.25,2016,47000,28.09,1248,88.5,6,1,0,0,0,1,1,0
20.9025,2015,110000,12.55,2982,168.5,7,1,0,0,0,0,0,1
8,2015,40000,17.4,1497,117.3,7,0,0,0,1,1,1,0
4.7,2016,60000,23.1,998,67.04,6,0,0,0,1,0,1,0
10.9,2011,80000,19.71,2143,201.15,11,1,0,0,0,0,1,0
6.75,2018,9300,18.6,1197,81.83,4,0,0,0,1,1,1,0
8.75,2013,78000,11.3,2360,170,9,0,0,0,1,0,1,0
17.65,2017,29244,11.36,2755,171.5,5,1,0,0,0,0,0,1
2.65,2015,75000,23.95,998,67.05,7,0,0,0,1,1,1,0
6.65,2018,29303,23.8,1499,98.97,4,1,0,0,0,1,1,0
3.9,2018,50000,23.95,998,67.05,4,0,0,0,1,1,1,0
12.35,2015,89000,15.1,2179,140,7,1,0,0,0,1,0,1
9.7,2014,99220,19.3,1968,141,8,1,0,0,0,0,1,0
3.5,2012,177000,22.32,1582,126.32,10,1,0,0,0,1,1,0
3.75,2016,44000,26.6,998,58.16,6,0,0,0,0,1,1,0
7.55,2018,10000,19,1199,88.76,4,0,0,0,1,0,1,0
7.49,2017,26000,21.01,1197,81.8,5,0,0,0,1,1,1,0
2.8,2016,35000,23.95,998,67.05,6,0,0,0,1,1,1,0
4.59,2015,38000,18.9,1197,82,7,0,0,0,1,1,1,0
5,2016,27500,20.85,1197,83.14,6,0,0,0,1,1,1,0
6.2,2015,150000,21.19,1396,88.73,7,1,0,0,0,1,1,0
1.5,2005,50000,13.9,1598,92,17,0,0,0,1,1,1,0
5.2,2013,40147,28.4,1248,74,9,1,0,0,0,1,1,0
7.5,2017,44500,28.4,1248,74.02,5,1,0,0,0,1,1,0
4.74,2015,56000,25.8,1498,98.6,7,1,0,0,0,1,1,0
20.9025,2020,1900,16.5,1799,139.46,2,0,0,0,1,0,1,0
4.9,2015,81465,18.6,1197,81.83,7,0,0,0,1,1,1,0
2.73,2013,149028,20.5,1598,103.5,9,1,0,0,0,1,1,0
5.95,2012,95009,16.96,1968,138.1,10,1,0,0,0,0,1,0
5.78,2016,138000,19.87,1461,83.8,6,1,0,0,0,1,1,0
3,2012,60000,18.6,1197,85.8,10,0,0,0,1,1,1,0
9.5,2017,40000,23.9,1582,126.2,5,1,0,0,0,1,1,0
2.99,2009,87000,16.9,1497,100,13,0,0,0,1,1,1,0
2.5,2012,120000,20,1399,68,10,1,0,0,0,1,1,0
6.5,2015,94000,19.3,1248,73.9,7,1,0,0,0,1,1,0
11,2017,10000,25.6,1498,97.9,5,1,0,0,0,1,1,0
8.9,2011,64690,16.55,1968,140,11,1,0,0,0,0,1,0
3.99,2011,44000,23.2,1248,73.94,11,1,0,0,0,1,1,0
3.21,2012,68500,17.6,1496,5,10,0,0,0,1,1,1,0
19.5,2016,70000,15,2143,107.3,6,1,0,0,0,0,1,0
